StartTime,EndTime,Duration,X,Y
0,8,8,1232,293
8,9,1,1055,311
9,10,1,857,317
10,11,1,665,322
11,12,1,530,325
12,13,1,437,328
13,15,2,350,332
15,23,8,256,335
23,32,9,211,349
32,33,1,253,355
33,34,1,538,494
34,35,1,744,595
35,36,1,887,666
36,37,1,999,726
37,38,1,1078,770
38,40,2,1164,811
40,45,5,1217,843
45,61,16,1164,774
61,69,8,1198,729
69,77,8,1238,704
77,86,9,1310,666
86,102,16,1332,616
102,123,21,1383,558
123,137,14,1314,499
137,138,1,1231,488
138,139,1,1055,453
139,140,1,879,416
140,141,1,726,383
141,142,1,608,367
142,143,1,519,361
143,145,2,430,359
145,147,2,360,347
147,154,7,305,319
154,171,17,221,311
171,190,19,190,352
190,203,13,233,359
203,229,26,305,353
229,253,24,377,355
253,269,16,432,345
269,275,6,417,374
275,285,10,1142,444
285,302,17,1202,448
302,303,1,1196,529
303,304,1,1178,604
304,306,2,1150,713
306,308,2,1124,796
308,322,14,1126,825
322,341,19,1191,758
341,347,6,1253,717
347,369,22,1283,667
369,381,12,1299,625
381,382,1,1093,596
382,383,1,867,541
383,384,1,708,507
384,385,1,598,484
385,387,2,494,461
387,389,2,418,448
389,401,12,347,432
401,451,50,260,450
451,463,12,303,448
463,469,6,361,452
469,480,11,401,446
480,482,2,451,445
482,496,14,531,449
496,499,3,575,459
499,502,3,628,453
502,512,10,684,437
512,525,13,736,427
525,534,9,787,405
534,549,15,826,422
549,554,5,865,434
554,565,11,769,354
565,584,19,818,334
584,596,12,877,332
596,603,7,926,328
603,605,2,974,393
605,607,2,1024,499
607,609,2,1087,635
609,612,3,1131,720
612,629,17,1161,726
629,640,11,1202,680
640,665,25,1249,613
665,669,4,1263,576
669,670,1,1188,548
670,671,1,1046,514
671,672,1,909,483
672,673,1,841,467
673,675,2,741,448
675,677,2,645,420
677,712,35,593,351
712,751,39,543,350
751,757,6,597,337
757,765,8,636,361
765,784,19,681,358
784,787,3,617,373
787,790,3,576,369
