StartTime,EndTime,Duration,X,Y
0,15,15,775,652
15,19,4,731,612
19,23,4,681,574
23,28,5,636,530
28,32,4,589,474
32,48,16,531,423
48,56,8,456,381
56,64,8,400,374
64,72,8,327,364
72,75,3,277,358
75,104,29,167,325
104,124,20,215,339
124,139,15,274,332
139,146,7,329,309
146,167,21,373,252
167,174,7,428,245
174,176,2,474,245
176,178,2,526,245
178,180,2,596,245
180,182,2,669,245
182,184,2,739,245
184,186,2,808,245
186,194,8,893,242
194,212,18,963,225
212,247,35,1004,211
247,276,29,1066,208
276,297,21,1093,208
297,302,5,1034,233
302,348,46,924,245
348,356,8,991,265
356,381,25,1046,270
381,415,34,1018,319
415,441,26,1018,360
441,474,33,1049,383
474,500,26,1021,437
