StartTime,EndTime,Duration,X,Y
0,5,5,820,680
5,8,3,778,649
8,10,2,725,605
10,12,2,673,558
12,15,3,622,508
15,18,3,585,462
18,20,2,553,413
20,22,2,518,362
22,24,2,479,315
24,40,16,408,224
40,53,13,365,182
53,86,33,275,121
86,115,29,227,151
115,126,11,199,195
126,148,22,177,223
148,155,7,230,212
155,160,5,289,197
160,166,6,346,177
166,171,5,397,150
171,178,7,456,125
178,183,5,512,112
183,191,8,581,104
191,203,12,639,98
203,214,11,707,78
214,228,14,760,52
228,240,12,827,44
240,248,8,884,44
248,284,36,952,39
284,320,36,1009,39
320,339,19,1027,42
339,358,19,962,83
358,367,9,913,117
367,386,19,842,147
386,395,9,823,164
395,406,11,888,152
406,428,22,967,143
428,461,33,1024,138
461,487,26,1093,138
487,515,28,1126,143
515,520,5,1083,180
520,524,4,1022,204
524,543,19,932,233
543,571,28,848,256
571,588,17,903,247
588,609,21,963,241
609,639,30,1016,239
639,665,26,1091,232
665,724,59,1146,232
724,735,11,1116,281
735,752,17,1049,308
752,765,13,980,326
765,779,14,925,345
779,815,36,878,384
815,842,27,937,395
842,849,7,1001,401
849,877,28,1051,403
877,933,56,1118,401
933,959,26,1092,442
959,990,31,1029,478
990,1026,36,968,510
1026,1063,37,933,541
1063,1080,17,972,564
1080,1115,35,1019,568
1115,1177,62,1050,568
1177,1209,32,998,603
1209,1298,89,877,621
1298,1305,7,826,641
1305,1310,5,766,641
1310,1313,3,712,639
1313,1317,4,630,627
1317,1328,11,558,615
1328,1333,5,492,603
1333,1352,19,400,572
1352,1376,24,324,530
1376,1410,34,264,483
1410,1435,25,240,411
1435,1486,51,199,293
1486,1585,99,150,165
1585,1623,38,192,125
1623,1658,35,233,78
1658,1680,22,278,61
1680,1706,26,313,65
1706,1731,25,349,92
1731,1755,24,395,125
1755,1782,27,423,150
1782,1813,31,456,179
1813,1836,23,493,207
1836,1871,35,482,258
1871,1898,27,458,301
1898,1910,12,420,349
1910,1942,32,366,378
1942,1975,33,321,423
1975,1990,15,303,469
1990,1996,6,268,520
1996,2032,36,210,567
2032,2047,15,188,619
2047,2080,33,153,660
2080,2116,36,186,668
2116,2142,26,240,668
2142,2181,39,285,664
2181,2216,35,326,647
2216,2251,35,377,647
2251,2288,37,438,649
2288,2324,36,491,649
2324,2365,41,527,646
2365,2400,35,572,643
2400,2440,40,633,643
2440,2469,29,674,645
2469,2492,23,727,651
2492,2526,34,780,647
2526,2558,32,823,647
2558,2592,34,880,648
2592,2615,23,926,652
2615,2650,35,987,649
2650,2685,35,1042,636
2685,2717,32,1093,636
2717,2753,36,1157,633
2753,2784,31,1200,632
2784,2787,3,1153,663
2787,2790,3,1099,681
2790,2792,2,1044,697
2792,2794,2,974,710
2794,2796,2,897,718
2796,2798,2,829,723
2798,2800,2,761,725
2800,2802,2,690,725
2802,2804,2,630,725
2804,2806,2,572,726
2806,2808,2,515,727
2808,2810,2,459,730
2810,2812,2,402,733
2812,2815,3,334,734
2815,2821,6,269,734
2821,2890,69,174,671
2890,2910,20,246,660
2910,2946,36,289,658
2946,2978,32,345,658
2978,3008,30,400,650
3008,3043,35,450,650
3043,3074,31,517,650
3074,3103,29,572,660
3103,3125,22,623,672
3125,3159,34,693,674
3159,3190,31,743,667
3190,3216,26,793,661
3216,3244,28,852,655
3244,3271,27,900,652
3271,3291,20,962,648
3291,3328,37,1001,645
3328,3360,32,1049,644
3360,3392,32,1119,637
3392,3413,21,1182,635
3413,3431,18,1212,642
3431,3438,7,1154,680
3438,3440,2,1102,696
3440,3442,2,1048,710
3442,3446,4,978,723
3446,3451,5,920,730
3451,3469,18,808,730
3469,3478,9,745,720
3478,3482,4,691,714
3482,3487,5,627,709
3487,3493,6,564,703
3493,3503,10,510,697
3503,3507,4,455,686
3507,3530,23,384,667
3530,3544,14,453,664
3544,3565,21,518,661
3565,3588,23,571,659
3588,3603,15,620,659
3603,3619,16,691,659
3619,3634,15,748,663
3634,3658,24,807,662
3658,3689,31,859,664
3689,3724,35,902,671
3724,3741,17,948,677
3741,3774,33,1021,659
3774,3792,18,1070,635
3792,3840,48,1081,581
3840,3853,13,1012,614
3853,3861,8,967,635
3861,3867,6,911,668
3867,3893,26,866,722
3893,3907,14,878,744
3907,3942,35,824,712
3942,3970,28,873,724
3970,3992,22,902,745
3992,3999,7,959,750
3999,4000,1,995,748
