,0,1
0,815,679
1,810,675
2,802,671
3,796,667
4,789,663
5,780,659
6,776,656
7,770,652
8,768,650
9,767,649
10,767,649
11,766,647
12,764,644
13,761,641
14,757,635
15,749,626
16,739,618
17,725,607
18,715,599
19,703,590
20,689,580
21,673,569
22,663,560
23,653,550
24,646,540
25,637,530
26,629,520
27,619,510
28,608,496
29,595,481
30,584,467
31,573,455
32,564,446
33,559,443
34,554,439
35,549,436
36,547,434
37,541,431
38,537,428
39,534,427
40,530,423
41,527,421
42,526,420
43,524,418
44,522,418
45,519,415
46,513,412
47,506,407
48,496,400
49,483,392
50,471,384
51,462,381
52,451,377
53,441,375
54,434,374
55,428,374
56,422,374
57,417,374
58,415,374
59,408,374
60,403,374
61,395,374
62,384,374
63,372,374
64,362,371
65,355,370
66,344,368
67,333,366
68,322,364
69,313,364
70,306,363
71,299,362
72,291,361
73,279,359
74,263,355
75,242,351
76,218,345
77,204,340
78,193,336
79,183,333
80,178,331
81,171,330
82,166,328
83,162,327
84,160,326
85,158,326
86,158,326
87,157,326
88,157,325
89,158,325
90,158,325
91,160,325
92,161,325
93,162,327
94,162,327
95,164,327
96,165,327
97,168,329
98,170,330
99,172,330
100,178,332
101,180,332
102,185,335
103,192,336
104,199,338
105,204,340
106,206,340
107,210,342
108,212,343
109,214,344
110,214,344
111,215,344
112,215,344
113,216,344
114,218,346
115,219,346
116,221,346
117,221,346
118,225,346
119,228,345
120,232,345
121,236,345
122,239,345
123,243,345
124,249,343
125,251,343
126,255,343
127,258,342
128,264,341
129,269,340
130,273,340
131,278,338
132,280,337
133,283,337
134,287,334
135,291,333
136,296,331
137,299,329
138,305,326
139,312,324
140,318,321
141,323,317
142,330,312
143,336,306
144,345,298
145,350,292
146,358,284
147,363,277
148,368,270
149,370,267
150,374,262
151,376,260
152,376,259
153,377,259
154,377,258
155,377,257
156,377,256
157,379,256
158,379,255
159,380,254
160,381,254
161,382,254
162,385,254
163,388,253
164,391,252
165,395,250
166,402,249
167,409,248
168,414,248
169,421,248
170,426,248
171,435,246
172,445,245
173,452,245
174,465,245
175,483,245
176,511,245
177,541,245
178,579,245
179,614,245
180,652,245
181,687,245
182,720,245
183,758,245
184,790,245
185,826,245
186,853,245
187,872,245
188,885,245
189,896,245
190,905,244
191,910,243
192,915,243
193,921,241
194,928,240
195,935,240
196,943,239
197,949,237
198,952,236
199,958,234
200,960,233
201,964,233
202,967,232
203,970,231
204,973,230
205,979,228
206,983,228
207,986,227
208,987,226
209,988,226
210,991,225
211,993,225
212,1000,225
213,1002,224
214,1004,224
