,0,1
0,838,692
1,833,689
2,823,682
3,808,674
4,802,668
5,791,661
6,781,650
7,763,637
8,738,617
9,712,593
10,686,570
11,660,546
12,637,525
13,622,509
14,609,492
15,597,478
16,585,463
17,574,447
18,560,425
19,546,401
20,527,374
21,510,351
22,490,329
23,469,301
24,452,278
25,437,261
26,428,249
27,424,243
28,420,240
29,417,235
30,415,232
31,410,227
32,407,223
33,404,217
34,402,214
35,400,209
36,398,208
37,395,205
38,393,202
39,390,200
40,387,196
41,385,195
42,380,192
43,379,190
44,378,190
45,378,190
46,376,189
47,373,187
48,366,184
49,360,179
50,351,176
51,344,170
52,339,166
53,331,161
54,326,157
55,322,154
56,318,152
57,315,149
58,311,146
59,305,142
60,297,136
61,294,134
62,289,129
63,286,127
64,282,126
65,282,125
66,281,125
67,281,124
68,279,122
69,277,121
70,273,119
71,271,118
72,269,116
73,268,115
74,267,114
75,267,114
76,266,113
77,266,113
78,264,113
79,263,113
80,260,116
81,257,120
82,255,123
83,253,127
84,252,131
85,249,133
86,245,139
87,243,143
88,241,147
89,240,149
90,240,151
91,238,154
92,237,155
93,237,155
94,237,156
95,237,156
96,237,157
97,236,158
98,236,160
99,236,161
100,235,162
101,235,163
102,234,163
103,234,164
104,233,166
105,233,167
106,232,169
107,232,170
108,232,171
109,232,171
110,231,172
111,230,173
112,229,175
113,225,178
114,219,182
115,216,186
116,211,188
117,207,191
118,205,192
119,204,194
120,203,194
121,202,194
122,199,197
123,192,205
124,186,211
125,181,217
126,177,223
127,173,229
128,172,230
129,170,232
130,170,232
131,172,232
132,172,232
133,173,232
134,175,232
135,176,232
136,177,230
137,177,230
138,178,230
139,179,230
140,183,228
141,185,228
142,188,228
143,192,227
144,194,225
145,200,223
146,203,223
147,208,222
148,213,220
149,217,219
150,222,217
151,228,215
152,235,212
153,247,209
154,258,206
155,265,205
156,279,202
157,291,199
158,302,196
159,313,192
160,324,189
161,333,185
162,343,180
163,353,176
164,361,172
165,370,167
166,379,161
167,388,156
168,397,150
169,407,146
170,418,142
171,429,137
172,440,134
173,451,131
174,459,127
175,467,125
176,476,122
177,484,119
178,492,117
179,503,115
180,513,113
181,524,111
182,536,108
183,549,107
184,561,105
185,572,104
186,581,104
187,589,104
188,597,104
189,604,104
190,611,104
191,616,104
192,622,104
193,627,104
194,631,104
195,637,104
196,641,103
197,644,103
198,651,100
199,654,100
200,657,100
201,661,98
202,668,95
203,676,94
204,684,89
205,689,88
206,699,84
207,708,81
208,715,78
209,719,77
210,723,74
211,726,72
212,729,70
213,734,69
214,740,65
215,744,64
216,749,62
217,754,60
218,757,59
219,761,57
220,764,56
221,765,55
222,768,54
223,768,54
224,771,53
225,777,50
226,782,50
227,790,49
228,797,48
229,805,47
230,815,47
231,820,46
232,827,46
233,833,45
234,837,45
235,839,45
236,843,44
237,847,44
238,851,44
239,859,44
240,863,44
241,869,44
242,877,44
243,881,44
244,886,44
245,894,44
246,902,44
247,913,44
248,924,44
249,932,44
250,937,44
251,939,44
252,940,44
253,941,44
254,942,44
255,943,44
256,945,41
257,946,41
258,949,41
259,951,41
260,952,41
261,953,40
262,954,39
263,955,39
264,956,39
265,959,39
266,960,39
267,963,39
268,964,39
269,966,39
270,967,39
271,968,39
272,970,39
273,971,39
274,972,39
275,974,39
276,976,39
277,979,39
278,982,39
279,983,39
280,984,39
281,985,39
282,985,39
283,986,39
284,987,39
285,988,39
286,989,39
287,990,39
288,992,39
289,994,39
290,998,39
291,1001,39
292,1005,39
293,1008,39
294,1010,39
295,1012,39
296,1013,39
297,1014,39
298,1015,39
299,1015,39
300,1017,39
301,1019,39
302,1022,39
303,1025,39
304,1028,39
305,1031,39
306,1032,39
307,1032,39
308,1033,39
309,1034,39
310,1035,39
311,1036,39
312,1037,39
313,1037,39
314,1038,39
315,1038,39
316,1041,39
317,1041,39
318,1043,39
319,1043,39
320,1044,39
321,1044,40
322,1044,41
323,1044,41
324,1043,42
325,1040,43
326,1040,44
327,1039,45
328,1038,45
329,1037,47
330,1035,47
331,1033,48
332,1031,49
333,1027,50
334,1024,52
335,1021,55
336,1017,56
337,1009,60
338,1004,63
339,1001,65
340,994,67
341,991,69
342,987,71
343,985,73
344,978,75
345,975,79
346,970,81
347,966,83
348,964,84
349,962,87
350,959,89
351,957,90
352,955,93
353,950,95
354,948,96
355,945,99
356,941,101
357,938,104
358,934,106
359,931,109
360,926,112
