StartTime,EndTime,Duration,StartX,StartY,EndX,EndY
248,284,36,952,39,1009,39
284,320,36,1009,39,1146,232
665,724,59,1146,232,878,384
779,815,36,878,384,1118,401
877,933,56,1118,401,968,510
990,1026,36,968,510,933,541
1026,1063,37,933,541,1019,568
1080,1115,35,1019,568,1050,568
1115,1177,62,1050,568,877,621
1209,1298,89,877,621,199,293
1435,1486,51,199,293,150,165
1486,1585,99,150,165,192,125
1585,1623,38,192,125,233,78
1623,1658,35,233,78,482,258
1836,1871,35,482,258,210,567
1996,2032,36,210,567,186,668
2080,2116,36,186,668,285,664
2142,2181,39,285,664,326,647
2181,2216,35,326,647,377,647
2216,2251,35,377,647,438,649
2251,2288,37,438,649,491,649
2288,2324,36,491,649,527,646
2324,2365,41,527,646,572,643
2365,2400,35,572,643,633,643
2400,2440,40,633,643,987,649
2615,2650,35,987,649,1042,636
2650,2685,35,1042,636,1157,633
2717,2753,36,1157,633,174,671
2821,2890,69,174,671,289,658
2910,2946,36,289,658,450,650
3008,3043,35,450,650,1001,645
3291,3328,37,1001,645,902,671
3689,3724,35,902,671,1081,581
3792,3840,48,1081,581,824,712
